Name,Coefficient,Coefficient_std_error,Coefficient_P_value
Brain_Frontal_Cortex_(BA9),2.9112492280748007e-09,2.94823095069795e-09,0.16170949781624866
Brain_Spinal_cord_(cervical_c-1),2.3363295347624586e-09,2.3887156186854883e-09,0.1640200126051165
Brain_Anterior_cingulate_cortex_(BA24),4.1992595575550914e-09,4.413882545693444e-09,0.17070690539433897
Brain_Putamen_(basal_ganglia),6.1145799783502595e-09,6.859819033527759e-09,0.1863675780151356
Brain_Substantia_nigra,2.479973269688727e-09,3.3813804215328227e-09,0.23165104040604317
Brain_Caudate_(basal_ganglia),2.8203462216759153e-09,5.512659420651254e-09,0.3044610698205591
Brain_Cortex,8.44037730738102e-10,1.9480703712884273e-09,0.3324098219551487
Brain_Hippocampus,1.2953514540914153e-10,2.217036270425561e-09,0.47670418833717687
Brain_Cerebellum,-2.0511419442373982e-10,3.6003705631091255e-09,0.5227155734339118
Brain_Cerebellar_Hemisphere,-1.9789025852493847e-09,3.161838529850191e-09,0.7343001739010926
Brain_Nucleus_accumbens_(basal_ganglia),-1.855444008835067e-09,2.1747811896738815e-09,0.8032156891669535
Brain_Amygdala,-3.171155942727921e-09,2.1145202696814987e-09,0.9331545410200635
Brain_Hypothalamus,-4.188169574774508e-09,2.2924495114229884e-09,0.9661456655502605
